Utterance,Emotion
"What you guys don't understand is, for us, kissing is as important as any part of it.",Joyful
"Yeah, right!.......Y'serious?",Neutral
"Oh, yeah!",Joyful
Everything you need to know is in that first kiss.,Powerful
Absolutely.,Powerful
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Joyful
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Neutral
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Mad
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Sad
....Are we still talking about sex?,Joyful
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Scared
"Well, she has issues.",Sad
Does she.,Scared
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Mad
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Neutral
"Speaking of issues, isn't that your ex-wife?",Mad
No. No.,Scared
"Yes, it is. Carol! Hi!",Joyful
Hi.,Neutral
So.,Neutral
"You look great. I, uh... I hate that.",Scared
Sorry. You look good too.,Joyful
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Joyful
A lesbian?,Neutral
"Well... you never know. How's, um.. how's the family?",Peaceful
"Marty's still totally paranoid. Oh, and, uh-",Mad
"Why- why are you here, Carol?",Scared
I'm pregnant.,Neutral
Pregnant?!,Scared
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Neutral
Hi.,Neutral
"Ross, you remember Susan.",Neutral
How could I forget?,Mad
Ross.,Neutral
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Neutral
Dr. Oberman.,Neutral
..Dr. Oberman. Okay. And is he-,Neutral
She.,Neutral
"-she, of course, she- uh- familiar with our.. special situation?",Neutral
"Yes, and she's very supportive.",Neutral
"Okay, that's great. No, I'm- Oh.",Neutral
Thanks.,Neutral
"Quack, quack..",Joyful
Ross? That opens my cervix.,Scared
Barry?,Neutral
C'mon in.,Neutral
Are you sure?,Scared
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Neutral
Huh?!,Scared
"So, how ya doin?",Peaceful
I'm- uh- I'm okay... You look great!,Sad
"Yeah, well..",Neutral
"Dr. Farber, Jason Greenstein's gagging.",Neutral
Be right there. Be back in a sec.,Neutral
I dumped him.,Sad
Okay.,Neutral
Give me a 'for instance'.,Mad
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Scared
Marlon-,Powerful
Marlon?!,Mad
"-if it's a boy, Minnie if it's a girl.",Powerful
...As in Mouse?,Mad
As in my grandmother.,Neutral
Julia..,Neutral
We agreed on Minnie.,Powerful
Sorry about that. So. What have you been up to?,Neutral
"Oh, not much. I-I got a job.",Scared
"Oh, that's great.",Joyful
Why are- why are you so tanned?,Scared
"Oh, I, uh- I went to Aruba.",Scared
Oh no. You went on our honeymoon alone?,Mad
"No. I went with, uh.. Now, this may hurt.",Neutral
Me?!,Neutral
No! I went with Mindy.,Scared
"Mindy?! My maid of honour, Mindy?!",Mad
"Yeah, well, uh, we're kind of a thing now.",Scared
"Oh! Well, um.. You've got plugs!",Mad
Careful! They haven't quite taken yet.,Mad
And you've got lenses! But you hate sticking your finger in your eye!,Mad
"Not for her. Listen, I really wanted to thank you.",Peaceful
Okay..,Mad
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Neutral
Wow.,Scared
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Joyful
What?,Scared
Me.,Sad
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Sad
"Well, thank you for giving it back.",Sad
Hello?!,Scared
"Oh, please! What's wrong with Helen?",Mad
Helen Geller? I don't think so.,Mad
Hello? It's not gonna be Helen Geller.,Powerful
Thank you!,Powerful
"No, I mean it's not Geller.",Powerful
"What, it's gonna be Helen Willick?",Mad
"No, actually, um, we talked about Helen Willick-Bunch.",Neutral
"Well, wait a minute, wha- why is she in the title?",Mad
It's my baby too.,Powerful
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",Mad
"Yeah, and we all know what a challenge that is!",Mad
"All right, you two, stop it!",Mad
"No no no, she gets a credit, hey, I'm in there too.",Mad
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,Neutral
"Of course not, I'm... suggesting Geller-Willick-Bunch.",Powerful
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",Mad
Knock knock!How are we today? Any nausea?,Neutral
Yeah. Yeah. A little.,Neutral
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",Neutral
Oh my God.,Joyful
Look at that.,Joyful
I know.,Joyful
Well? Isn't that amazing?,Joyful
What are we supposed to be seeing here?,Neutral
"I dunno, but.. I think it's about to attack the Enterprise.",Joyful
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Joyful
"Then don't do that, alright?",Mad
Okay!,Neutral
Monica. Whaddya think?,Neutral
Mm-hmm.,Sad
Wh- are you welling up?,Neutral
No.,Neutral
"You are, you're welling up.",Powerful
Am not!,Mad
You're gonna be an aunt.,Joyful
Oh shut up!,Joyful
Hi guys!,Joyful
"Hey, Pheebs! Hi!",Joyful
"Hey. Oh, oh, how'd it go?",Joyful
Ohh. Ouch.,Sad
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",Neutral
Since when?,Neutral
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Neutral
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Mad
And everybody knows this?,Neutral
Yeah. Cushions the blow.,Neutral
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",Neutral
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",Neutral
"Uh, Ross.",Neutral
"""So how does it feel knowing you're about to die?""",Neutral
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",Peaceful
"Hey, that was really good!",Joyful
Thanks! Let's keep going.,Powerful
"Okay. ""So. Whaddya want from me, Damone, huh?""",Neutral
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",Neutral
"""Smoke away.""",Neutral
I think this is probably why Damone smokes in his cell alone.,Neutral
What?,Scared
Relax your hand!,Powerful
Not so much!,Powerful
Whoah!,Scared
Hey!,Powerful
Hey!,Powerful
"Alright, now try taking a puff.",Neutral
Alright.. okay. No. Give it to me.,Neutral
"No no no, I am not giving you a cigarette.",Neutral
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",Powerful
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",Powerful
Y'miss it?,Neutral
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",Scared
Hi.. how was the game?,Neutral
Well..,Neutral
WE WON!! Thank you! Yes!,Joyful
Fantastic! I have one question: How is that possible?,Joyful
Alan.,Neutral
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Joyful
"I mean, it-it was like, it was like he made us into a team.",Sad
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Joyful
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,Scared
What?,Neutral
"..I dunno, a little too Alan?",Neutral
"Well, no. That's impossible. You can never be too Alan.",Mad
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",Joyful
I personally could have a gallon of Alan.,Joyful
"Hey, Lizzie.",Neutral
"Hey, Weird Girl.",Neutral
I brought you alphabet soup.,Neutral
Did you pick out the vowels?,Neutral
Saltines?,Neutral
"No, but would you like a thousand dollars and a football phone?",Neutral
"What? Oh my God, there's really money in here.",Joyful
I know.,Neutral
"Weird Girl, what are you doing?",Neutral
"No, I want you to have it. I don't want it.",Neutral
"No, no, I ha-I have to give you something.",Neutral
"Oh, that's fine, no.",Neutral
Would you like my tin-foil hat?,Joyful
"No. 'Cause you need that. No, it's okay, thanks.",Neutral
"Please, let me do something.",Neutral
"Okay, alright, you buy me a soda, and then we're even. Okay?",Neutral
Okay.,Neutral
Okay.,Neutral
A thumb?!,Neutral
Eww!,Scared
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Mad
"Well, maybe it's a contest, y'know? Like, collect all five?",Neutral
"Does, um, anyone wanna see?",Neutral
Nooo!,Scared
"Oh, hey, don't do that! Cut it out!",Scared
It's worse than the thumb!,Scared
"Hey, this is so unfair!",Neutral
"Oh, why is it unfair?",Neutral
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",Scared
...Does the knuckle-cracking bother everybody?,Sad
"Well, I-I could live without it.",Neutral
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",Neutral
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",Joyful
"Oh, ""you do, do you""?",Joyful
"You know, there's nothing wrong with speaking correctly.",Neutral
"""Indeed there isn't""... I should really get back to work.",Neutral
"Yeah, 'cause otherwise someone might get what they actually ordered.",Neutral
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",Mad
Did you ever go out with a guy your friends all really like?,Neutral
No.,Neutral
"Okay.. Well, I'm going out with a guy my friends all really like.",Peaceful
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",Joyful
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",Scared
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",Powerful
I know.. it's gonna be really hard.,Sad
"Well, he's a big boy, he'll get over it.",Powerful
"No, he'll be fine. It's the other five I'm worried about.",Sad
Do you have any respect for your body?,Neutral
Don't you realise what you're-you're doing to yourself?,Mad
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",Mad
"Chandler? It's Alan, he wants to speak to you.",Neutral
"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",Joyful
"God, he's good.",Peaceful
If only he were a woman.,Sad
Yeah.,Neutral
Wow.,Joyful
"I'm, I'm really sorry.",Sad
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",Peaceful
Relieved?,Neutral
"Yeah, well, I had a great time with you.. I just can't stand your friends.",Mad
Remember when we went to Central Park and rented boats?.. That was fun.,Peaceful
Yeah. He could row like a viking.,Powerful
Hi.,Neutral
Mmm.,Peaceful
So how'd it go?,Neutral
"Oh, y'know..",Sad
Did he mention us?,Scared
"You had a rough day, huh.. c'mere.",Peaceful
...That's it. I'm getting cigarettes.,Powerful
No no no!,Mad
"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",Scared
If you never smoke again I'll give you seven thousand dollars!,Powerful
"Yeah, alright.",Neutral
Alright. Phoebe?,Neutral
"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",Joyful
"Yeah, see.. you took mine. Chandler, what about you?",Joyful
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",Joyful
"See, there's always one guy. ""If I had a wish, I'd wish for three more wishes.""",Joyful
"Hey Joey. Hi. Hey, buddy.",Joyful
"Hey, Joey, what would you do if you were omnipotent?",Neutral
Probably kill myself!,Neutral
